name,lr,gamma,gae_lambda,ent_coef,n_steps,mean_reward,std_reward
A2C_baseline,0.0007,0.99,0.95,0.0,5,150.66126476784538,28.052706373379653
A2C_high_lr,0.001,0.99,0.95,0.0,5,143.26836911419483,29.975795687241888
A2C_low_lr,0.0001,0.99,0.95,0.0,5,125.59966326230627,38.97663905169198
A2C_low_gamma,0.0007,0.8,0.95,0.0,5,155.81310854862699,24.872584416969072
A2C_high_ent,0.0007,0.99,0.95,0.01,5,161.56822836611303,27.351281257003894
A2C_large_steps,0.0007,0.99,0.95,0.0,20,133.75019676748204,48.51334413158801
A2C_low_gae,0.0007,0.99,0.8,0.0,5,143.3543267944104,39.62653066971481
A2C_mid,0.0005,0.99,0.95,0.005,10,153.705196466174,37.927975279352005
A2C_high_gae,0.0003,0.995,0.98,0.01,5,140.6887291465722,30.01720167398866
A2C_optimal,0.0007,0.99,0.95,0.0,128,137.97712838173902,17.519789716857726
