learning_rate,gamma,batch_size,buffer_size,exploration_fraction,exploration_final_eps,target_update_interval,learning_starts,train_freq,name,mean_reward,std_reward
0.001,0.99,64,50000,0.3,0.05,1000,1000,4,DQN_baseline,321.5151551,129.0932663173446
0.005,0.99,64,50000,0.3,0.05,1000,1000,4,DQN_high_lr,268.83366879999994,109.60321971405394
0.0001,0.99,64,50000,0.3,0.05,1000,1000,4,DQN_low_lr,155.6106246,23.748404137440204
0.001,0.8,64,50000,0.3,0.05,1000,1000,4,DQN_low_gamma,268.8481581,88.16371932362657
0.001,0.99,256,100000,0.3,0.05,500,2000,4,DQN_large_batch,288.4430594,69.05734016072022
0.001,0.99,32,50000,0.4,0.05,2000,500,1,DQN_small_batch,348.1155822,146.43628936609886
0.001,0.99,64,50000,0.6,0.1,1000,1000,4,DQN_high_explore,302.5975307,152.77340384005512
0.001,0.99,64,50000,0.1,0.01,1000,1000,4,DQN_low_explore,189.98921130000002,76.99441853206874
0.001,0.99,128,200000,0.3,0.05,500,2000,8,DQN_large_buffer,206.98245500000002,121.95001612896297
0.0003,0.99,128,100000,0.35,0.03,750,1000,4,DQN_optimal,92.7080775,48.35667011333707
